Lat,Lon,ANPP,MAT,MAP,SOL,PET,AI,STN,SOC,PH,BD,CN,SILT,CLAY,ELEV,ASP,SLOPE,Formation
48.6,119.9666667,173.4,-2.075,377,167673,967,3898,0.56678,7.721,6.7075,1.1999,13.623,36.18,21.603,815,311.438,0.914628,"Temperate Grassland, Meadow & Shrubland"
48.46666667,119.6833333,228.6,-1.25833,360,168053,1016,3542,0.49155,7.5927,6.8327,1.224,15.447,40.197,22.347,747,20.4122,0.706957,"Temperate Grassland, Meadow & Shrubland"
48.46111111,120.6880556,242.8,-3.09361,442,164574,874,5050,0.620005,7.00755,6.2697,1.17609,11.3115,28.948,19.1514,926,290.888,3.1918,"Temperate Grassland, Meadow & Shrubland"
49.33,46.78,138.9,7.50533,294,142984,1232,2387,0.623704,5.45913,7.33299,1.25015,8.75713,41.3508,23.6211,22,0,0,Cool Semi-Desert Scrub & Grassland
48.76666667,118.75,164.85,-1.125,302,170000,1043,2894,0.50642,5.0719,7.1294,1.3552,10.015,37.743,22.802,709,263.611,0.329342,"Temperate Grassland, Meadow & Shrubland"
48.45,119.6833333,510.44,-1.30833,363,167792,1015,3576,0.52395,7.3047,6.8654,1.2472,13.942,40.644,23.014,763,210.897,0.684541,"Temperate Grassland, Meadow & Shrubland"
48.45,121.3,474.5,-2.15,483,162179,877,5504,0.72218,7.6862,6.1213,1.1681,10.643,31.169,17.317,990,194.521,1.93195,"Temperate Grassland, Meadow & Shrubland"
48.7742,109.095,105.28,-5.21,456,157665,751,6068,0.72979,8.50344,6.43678,1.11532,11.6552,35.3279,16.7607,2058,257.678,9.59351,"Temperate Grassland, Meadow & Shrubland"
48.81666667,16,356.1706667,9.13333,521,134125,969,5373,0.59839,5.055,6.356,1.3869,8.4477,43.545,23.119,301,116.841,2.04576,"Alpine Scrub, Forb Meadow & Grassland"
49.35,120.12,210.32,-2.52333,371,164577,942,3935,0.544976,7.21822,6.92804,1.27256,13.2432,43.6316,23.3934,657,264.727,0.675593,"Temperate Grassland, Meadow & Shrubland"
49.35,120.12,41.63,-2.52333,371,164577,942,3935,0.544976,7.21822,6.92804,1.27256,13.2432,43.6316,23.3934,657,264.727,0.675593,"Temperate Grassland, Meadow & Shrubland"
47.53,86.82,29.3,4.53933,215,174779,1324,1622,0.409794,1.71813,7.56341,1.31516,4.19258,31.2297,22.665,980,169.555,2.75537,Cool Semi-Desert Scrub & Grassland
48.07,87.01,154,3.958,240,172749,1283,1870,0.408987,2.73486,7.35933,1.33406,6.68897,27.662,16.7559,892,210.31,2.88,"Alpine Scrub, Forb Meadow & Grassland"
47.73,87.75,103,4.14333,178,176127,1294,1373,0.414418,1.97072,7.55554,1.28476,4.7714,28.638,23.0752,845,52.4929,1.8502,"Alpine Scrub, Forb Meadow & Grassland"
48.2,118.1,101.4,0.0166662,258,172575,1106,2331,0.5213,4.3581,7.2151,1.3771,8.3601,18.419,12.194,590,32.9853,0.0458628,"Temperate Grassland, Meadow & Shrubland"
47.65,119.3,152.3,-1.51667,350,170319,1003,3489,0.52409,6.5498,6.7778,1.208,12.497,31.455,20.447,856,29.8299,0.547856,"Temperate Grassland, Meadow & Shrubland"
48.21666667,119.6666667,161.8,-1.975,368,168142,973,3781,0.51508,7.2009,6.7928,1.2102,13.98,37.001,21.636,829,191.136,0.752573,"Temperate Grassland, Meadow & Shrubland"
47.4,112.5,174.3333333,0.1,265,174963,1095,2418,0.53192,4.7124,7.1867,1.4076,8.8592,34.122,17.431,1072,283.119,1.11443,"Temperate Grassland, Meadow & Shrubland"
48.28333333,118.7666667,329.17,-0.458333,300,170571,1069,2804,0.50556,4.9496,7.1263,1.3533,9.7903,38.018,20.027,715,327.332,0.398139,"Temperate Grassland, Meadow & Shrubland"
