Lat,Lon,TNPP,MAT,MAP,SOL,PET,AI,STN,SOC,PH,BD,CN,SILT,CLAY,ELEV,ASP,SLOPE,Formation
43.63,116.7,535,1.12667,317,183610,1188,2668,0.523562,5.72438,6.97756,1.26544,10.9426,26.4396,13.102,1184,212.733,0.571753,"Temperate Grassland, Meadow & Shrubland"
43.63,116.7,194,1.12667,317,183610,1188,2668,0.523562,5.72438,6.97756,1.26544,10.9426,26.4396,13.102,1184,212.733,0.571753,"Temperate Grassland, Meadow & Shrubland"
43.96,116.37,323,1.29633,283,185114,1224,2314,0.494721,4.67372,7.09014,1.38066,9.45588,24.875,16.1252,1133,194.511,0.827889,"Temperate Grassland, Meadow & Shrubland"
43.71666667,116.6333333,432.8,1.05833,308,183586,1195,2576,0.50134,4.4731,7.1175,1.3091,8.9224,12.417,12.135,1182,124.715,1.36104,"Temperate Grassland, Meadow & Shrubland"
43.43333333,116.0666667,484.185,0.275,322,185019,1176,2737,0.58696,6.1847,6.6234,1.1977,10.537,28.49,19.066,1440,9.95255,1.87244,"Temperate Grassland, Meadow & Shrubland"
43.71666667,116.6333333,446.4,1.05833,308,183586,1195,2576,0.50134,4.4731,7.1175,1.3091,8.9224,12.417,12.135,1182,124.715,1.36104,"Temperate Grassland, Meadow & Shrubland"
43.63333333,116.7,716.548,1.11667,318,183346,1189,2673,0.49979,5.5341,7.0786,1.2724,11.073,27.248,13.458,1188,211.5,0.576684,"Temperate Grassland, Meadow & Shrubland"
43.28333333,-89.36666667,874.3023256,7.55,842,157753,1067,7886,0.61703,8.1735,6.429,1.4448,13.247,59.155,23.218,296,190.655,0.363227,"Temperate Grassland, Meadow & Shrubland"
43.175,-90.067,796.79,7.90133,808,157444,1064,7584,0.799415,5.70793,6.15644,1.53372,7.15064,44.154,12.5813,221,134.001,0.0801055,"Temperate Grassland, Meadow & Shrubland"
43.13333333,-88.86666667,1147,7.925,832,158059,1075,7736,0.67391,7.9469,6.1564,1.4917,11.792,52.108,22.747,241,273.515,0.435894,"Temperate Grassland, Meadow & Shrubland"
43.63333333,116.7,1145.539667,1.11667,318,183346,1189,2673,0.49979,5.5341,7.0786,1.2724,11.073,27.248,13.458,1188,211.5,0.576684,"Temperate Grassland, Meadow & Shrubland"
43.55083333,116.6752778,633.1005,1.04369,321,184259,1193,2689,0.51079,4.66117,7.01148,1.28961,9.13114,16.2364,11.2885,1263,246.221,0.385254,"Temperate Grassland, Meadow & Shrubland"
43.54694444,116.6886111,539.8515,1.01362,322,184151,1189,2706,0.511558,4.81117,7.013,1.31175,9.40597,19.0618,11.8457,1269,279.221,0.849485,"Temperate Grassland, Meadow & Shrubland"
43.95,-101.87,795,8.49333,434,174440,1504,2881,0.819952,7.58558,6.95922,1.67604,9.24662,39.4378,49.4508,737,17.7538,1.12621,"Temperate Grassland, Meadow & Shrubland"
43.75,-112,123,6.26667,298,179166,1344,2215,0.63548,8.3047,7.5667,1.496,13.068,39.312,24.884,1463,264.546,0.132235,Cool Semi-Desert Scrub & Grassland
43.75,-112,176,6.26667,298,179166,1344,2215,0.63548,8.3047,7.5667,1.496,13.068,39.312,24.884,1463,264.546,0.132235,Cool Semi-Desert Scrub & Grassland
43.82,-111.78,169,5.88667,364,177241,1316,2763,0.594558,8.06944,7.3302,1.50547,13.5625,42.7842,23.4985,1504,324.354,2.22397,Cool Semi-Desert Scrub & Grassland
43.82,-111.78,269,5.88667,364,177241,1316,2763,0.594558,8.06944,7.3302,1.50547,13.5625,42.7842,23.4985,1504,324.354,2.22397,Cool Semi-Desert Scrub & Grassland
44,-112,390,5.875,304,176950,1351,2248,0.59879,7.0916,7.3554,1.5131,11.843,40.292,22.769,1572,214.403,1.41293,Cool Semi-Desert Scrub & Grassland
43.03,-89.43,1898.333333,7.847,833,158908,1074,7753,0.612158,7.17623,6.4125,1.51268,11.735,58.2434,22.143,291,61.1683,0.878327,"Temperate Grassland, Meadow & Shrubland"
42.38333333,110.3833333,1044.47,5.66667,174,196921,1638,1061,0.45616,2.3589,7.6766,1.3942,5.1712,32.2,17.74,1126,141.755,0.20227,Cool Semi-Desert Scrub & Grassland
42.21666667,116,1315.67,2.60833,366,185714,1265,2891,0.46685,5.0025,7.0473,1.2741,10.715,30.489,19.434,1334,31.3363,1.19453,"Temperate Grassland, Meadow & Shrubland"
42.04,116.3,698.1,3.115,406,184888,1259,3224,0.472892,5.20296,6.97696,1.26654,11.0038,28.9618,17.6636,1333,268.286,1.80522,"Temperate Grassland, Meadow & Shrubland"
42.04,116.3,356.6,3.115,406,184888,1259,3224,0.472892,5.20296,6.97696,1.26654,11.0038,28.9618,17.6636,1333,268.286,1.80522,"Temperate Grassland, Meadow & Shrubland"
42.03333333,116.2833333,352.0393798,3.08333,405,184850,1260,3213,0.4733,5.3421,6.7877,1.2518,11.287,31.22,17.487,1344,215.99,1.76482,"Temperate Grassland, Meadow & Shrubland"
42.27916667,112.7955556,938.40555,4.61722,231,191940,1512,1526,0.479249,2.83322,7.55017,1.46458,5.91193,24.5109,15.6567,1196,118.648,0.203194,Cool Semi-Desert Scrub & Grassland
42.03333333,116.2833333,831.699,3.08333,405,184850,1260,3213,0.4733,5.3421,6.7877,1.2518,11.287,31.22,17.487,1344,215.99,1.76482,"Temperate Grassland, Meadow & Shrubland"
42.03333333,116.2833333,1093.222373,3.08333,405,184850,1260,3213,0.4733,5.3421,6.7877,1.2518,11.287,31.22,17.487,1344,215.99,1.76482,"Temperate Grassland, Meadow & Shrubland"
41.33,-106,186,5.39,339,185443,1466,2309,0.531846,5.22112,7.15236,1.71598,9.81574,31.4624,21.6948,2290,82.8056,0.827351,"Temperate Grassland, Meadow & Shrubland"
41.33,-106,336,5.39,339,185443,1466,2309,0.531846,5.22112,7.15236,1.71598,9.81574,31.4624,21.6948,2290,82.8056,0.827351,"Temperate Grassland, Meadow & Shrubland"
41.6,69.72,66,12.5133,629,192134,1626,3864,0.558748,5.79198,7.39264,1.37444,10.3668,36.3082,30.5124,757,172.946,2.47132,Cool Semi-Desert Scrub & Grassland
41.13,-104.82,381.6643,7.768,388,188866,1615,2399,0.509751,4.94245,6.81265,1.54307,9.69593,22.6356,21.6026,1848,117.454,0.273053,"Temperate Grassland, Meadow & Shrubland"
41.13,-104.82,578.3268,7.768,388,188866,1615,2399,0.509751,4.94245,6.81265,1.54307,9.69593,22.6356,21.6026,1848,117.454,0.273053,"Temperate Grassland, Meadow & Shrubland"
41.87,-113.08,735.06,9.15933,277,192446,1689,1639,0.381597,3.38011,7.7394,1.53993,8.85817,40.0536,20.9235,1368,184.218,0.456597,Cool Semi-Desert Scrub & Grassland
41.87,-113.08,436.823,9.15933,277,192446,1689,1639,0.381597,3.38011,7.7394,1.53993,8.85817,40.0536,20.9235,1368,184.218,0.456597,Cool Semi-Desert Scrub & Grassland
41.4,-105.2666667,104.2633,5.75,342,187004,1506,2270,0.6475,5.3943,7.1195,1.5737,8.331,36.101,22.995,2203,65.9094,1.5567,"Temperate Grassland, Meadow & Shrubland"
41.55,-93.28333333,959.0581395,9.60833,921,166266,1208,7620,0.76803,6.2153,6.2001,1.5041,8.0926,54.975,27.807,265,79.9396,0.501077,"Temperate Grassland, Meadow & Shrubland"
41.78333333,111.8833333,1354.4765,3.6,224,193470,1450,1544,0.51877,4.0774,7.3981,1.4304,7.8598,40.368,21.206,1436,211.695,0.465779,Cool Semi-Desert Scrub & Grassland
41.78333333,111.8833333,821,3.6,224,193470,1450,1544,0.51877,4.0774,7.3981,1.4304,7.8598,40.368,21.206,1436,211.695,0.465779,Cool Semi-Desert Scrub & Grassland
41.08,-113.08,424,10.1727,245,197411,1762,1389,0.429304,3.34229,8.03604,1.54786,7.77396,40.6086,27.4948,1287,275.322,0.109742,Cool Semi-Desert Scrub & Grassland
41.87,-112.75,332,8.80333,315,191663,1635,1928,0.405946,3.68328,7.6062,1.52738,9.07324,47.0378,22.214,1420,226.206,0.8943,Cool Semi-Desert Scrub & Grassland
41.87,-112.75,250,8.80333,315,191663,1635,1928,0.405946,3.68328,7.6062,1.52738,9.07324,47.0378,22.214,1420,226.206,0.8943,Cool Semi-Desert Scrub & Grassland
41.87,-112.75,597,8.80333,315,191663,1635,1928,0.405946,3.68328,7.6062,1.52738,9.07324,47.0378,22.214,1420,226.206,0.8943,Cool Semi-Desert Scrub & Grassland
40.05,-105.58,279.4,0.378333,641,188056,1187,5397,0.688574,11.049,5.3145,1.68788,16.0498,36.9816,16.6342,3391,132.562,5.65428,"Temperate Grassland, Meadow & Shrubland"
40.05,-105.58,410,0.378333,641,188056,1187,5397,0.688574,11.049,5.3145,1.68788,16.0498,36.9816,16.6342,3391,132.562,5.65428,"Temperate Grassland, Meadow & Shrubland"
40.05,-105.58,597.1,0.378333,641,188056,1187,5397,0.688574,11.049,5.3145,1.68788,16.0498,36.9816,16.6342,3391,132.562,5.65428,"Temperate Grassland, Meadow & Shrubland"
40.82,-104.77,740,8.979,368,192273,1710,2150,0.415709,3.14791,6.65658,1.63325,7.57144,29.0046,20.7121,1648,151.327,0.600506,"Temperate Grassland, Meadow & Shrubland"
40.46,-104.46,251,9.73167,351,196034,1764,1991,0.450198,3.23169,7.02804,1.5427,7.2022,23.8953,17.6714,1436,293.522,0.678638,"Temperate Grassland, Meadow & Shrubland"
40.46,-104.46,285.875,9.73167,351,196034,1764,1991,0.450198,3.23169,7.02804,1.5427,7.2022,23.8953,17.6714,1436,293.522,0.678638,"Temperate Grassland, Meadow & Shrubland"
40.8,-104.8,177.8542968,8.91667,371,192188,1703,2177,0.40393,3.2202,6.6013,1.6369,7.9721,21.347,19.68,1653,210.194,0.763294,"Temperate Grassland, Meadow & Shrubland"
40.41666667,107.8333333,481.58,7.38333,197,198880,1656,1188,0.36168,2.2588,7.7432,1.2977,6.2452,37.453,22.724,1181,287.557,0.273592,Cool Semi-Desert Scrub & Grassland
40.81666667,-104.7666667,184.7793333,9.00833,367,192401,1711,2144,0.42821,3.2838,6.5316,1.6169,7.6687,29.726,21.964,1642,171.236,0.531931,"Temperate Grassland, Meadow & Shrubland"
40.81666667,-104.7666667,439.3766667,9.00833,367,192401,1711,2144,0.42821,3.2838,6.5316,1.6169,7.6687,29.726,21.964,1642,171.236,0.531931,"Temperate Grassland, Meadow & Shrubland"
40.81666667,-104.7666667,342.2033333,9.00833,367,192401,1711,2144,0.42821,3.2838,6.5316,1.6169,7.6687,29.726,21.964,1642,171.236,0.531931,"Temperate Grassland, Meadow & Shrubland"
40.8,-104.8,740,8.91667,371,192188,1703,2177,0.40393,3.2202,6.6013,1.6369,7.9721,21.347,19.68,1653,210.194,0.763294,"Temperate Grassland, Meadow & Shrubland"
40,-105,1120,10.0583,430,197229,1782,2412,0.50477,4.5944,6.892,1.5753,9.102,30.093,19.528,1593,65.293,0.674426,"Temperate Grassland, Meadow & Shrubland"
39.5,-105.5,900,3.975,434,193216,1397,3104,0.54301,7.7323,5.6543,1.527,14.24,34.923,15.367,2705,106.132,2.81626,"Temperate Grassland, Meadow & Shrubland"
38.95,-99.33,1153.214286,11.8367,587,192556,1729,3396,0.647882,5.1648,6.90056,1.51708,7.97088,51.5712,23.393,666,166.47,0.101534,"Temperate Grassland, Meadow & Shrubland"
38.87,-99.38,1425,12.0073,575,193087,1747,3292,0.616005,6.13294,7.23825,1.53811,9.95444,49.9918,22.627,645,74.2707,1.10197,"Temperate Grassland, Meadow & Shrubland"
39.13333333,100.15,510.93,7.75,189,200801,1655,1141,0.42401,4.6258,7.8092,1.2819,10.91,33.065,19.925,1464,36.8442,0.42176,"Alpine Scrub, Forb Meadow & Grassland"
38.82,99.9,428.3,-1.85833,367,195916,1088,3372,0.724506,8.55372,7.26812,1.1824,11.7599,41.6296,18.1968,2841,216.33,3.79208,"Alpine Scrub, Forb Meadow & Grassland"
39.1,98.23,353.8,-5.50167,277,198178,911,3038,0.741924,7.35436,6.78698,1.31572,9.91258,38.8748,10.7386,3476,329.264,4.81845,"Alpine Scrub, Forb Meadow & Grassland"
39.18,98,102,-1.77667,213,201286,1146,1859,0.75608,3.45318,7.32104,1.23922,4.53844,36.0408,18.8236,2936,326.45,5.10623,"Alpine Scrub, Forb Meadow & Grassland"
38.86666667,-99.38333333,530.4046667,11.9667,574,193071,1744,3289,0.61962,6.171,7.2373,1.5547,9.9593,46.046,21.318,656,80.6525,1.18625,"Temperate Grassland, Meadow & Shrubland"
39.15,-96.91666667,520.136,12.525,839,184435,1551,5407,0.739,8.0805,6.225,1.5352,10.934,45.018,25.706,346,229.943,0.381476,"Temperate Grassland, Meadow & Shrubland"
39.09305556,-96.55861111,688.492,12.0116,893,182058,1497,5965,0.94405,10.31,5.97299,1.54203,10.9212,48.6622,36.2759,416,121.856,1.03195,"Temperate Grassland, Meadow & Shrubland"
39.25,-121.2833333,671.875,16.325,939,202248,1905,4926,0.47228,5.5084,5.9138,1.7342,11.663,40.725,20.48,259,131.6,5.97702,"Mediterranean Scrub, Grassland & Forb Meadow"
39.15,-96.91666667,1072.8,12.525,839,184435,1551,5407,0.739,8.0805,6.225,1.5352,10.934,45.018,25.706,346,229.943,0.381476,"Temperate Grassland, Meadow & Shrubland"
38.87,-99.38,1425,12.0073,575,193087,1747,3292,0.616005,6.13294,7.23825,1.53811,9.95444,49.9918,22.627,645,74.2707,1.10197,"Temperate Grassland, Meadow & Shrubland"
38.87,-99.38,1111.111111,12.0073,575,193087,1747,3292,0.616005,6.13294,7.23825,1.53811,9.95444,49.9918,22.627,645,74.2707,1.10197,"Temperate Grassland, Meadow & Shrubland"
38.55,68.58,889,13.9033,507,193071,1609,3150,0.452034,4.94602,7.51834,1.41328,10.942,38.0348,35.86,848,164.902,1.6928,"Temperate Grassland, Meadow & Shrubland"
38.67,68.18,747,10.4787,474,189075,1470,3219,0.640403,7.53084,7.39447,1.40352,11.8421,38.1019,32.639,1477,171.851,8.32091,"Temperate Grassland, Meadow & Shrubland"
38.67,58.27,360,16.813,155,200713,2070,750,0.374929,2.95788,7.69915,1.42528,7.88975,38.8777,30.133,82,134.504,0.320354,Cool Semi-Desert Scrub & Grassland
38.54,100.29,1574.8,-3.122,407,196081,959,4251,0.92527,10.9711,7.00102,0.978894,11.8396,37.0529,16.6529,3123,343.909,16.7932,"Alpine Scrub, Forb Meadow & Grassland"
38.54,100.29,1122.93,-3.122,407,196081,959,4251,0.92527,10.9711,7.00102,0.978894,11.8396,37.0529,16.6529,3123,343.909,16.7932,"Alpine Scrub, Forb Meadow & Grassland"
38.54,100.29,1437.95,-3.122,407,196081,959,4251,0.92527,10.9711,7.00102,0.978894,11.8396,37.0529,16.6529,3123,343.909,16.7932,"Alpine Scrub, Forb Meadow & Grassland"
38.54,100.29,1210.14,-3.122,407,196081,959,4251,0.92527,10.9711,7.00102,0.978894,11.8396,37.0529,16.6529,3123,343.909,16.7932,"Alpine Scrub, Forb Meadow & Grassland"
38.77,99.8,647.1,-4.31167,380,195895,906,4190,0.821344,10.2164,6.90772,1.10538,12.4412,40.9318,17.023,3134,262.769,4.36671,"Alpine Scrub, Forb Meadow & Grassland"
38.8,99.82,481.9,-3.66333,376,195794,966,3889,0.786766,9.52788,7.05666,1.15564,12.11,41.0242,18.1086,3012,354.344,3.43186,"Alpine Scrub, Forb Meadow & Grassland"
38.67,-94,1029,12.4333,1030,177649,1403,7337,0.7122,7.0564,6.13918,1.55868,9.9076,62.6686,29.1626,266,122.136,0.327415,"Temperate Grassland, Meadow & Shrubland"
38.67,-94,1088.888889,12.4333,1030,177649,1403,7337,0.7122,7.0564,6.13918,1.55868,9.9076,62.6686,29.1626,266,122.136,0.327415,"Temperate Grassland, Meadow & Shrubland"
36.67,-116,67,14.28,156,233929,2508,622,0.214248,1.8929,7.95962,1.6949,8.80444,23.4206,15.8038,1185,223.082,2.82454,Cool Semi-Desert Scrub & Grassland
36.95,-96.55,1022.633333,14.125,920,187782,1654,5561,0.57983,9.0888,5.9128,1.5373,15.675,54.331,29.978,397,259.972,0.352079,"Temperate Grassland, Meadow & Shrubland"
37.62,101.29,1238.7,-1.806,468,190614,977,4791,0.754756,9.56493,6.63668,1.03211,12.6415,36.9841,21.1544,3192,246.457,1.44831,"Alpine Scrub, Forb Meadow & Grassland"
36.86666667,109.35,201.7,9.25833,487,187002,1406,3463,0.42853,5.3972,7.6961,1.2786,12.595,33.429,16.77,1234,204.815,3.16337,Cool Semi-Desert Scrub & Grassland
37.36666667,101.6333333,950.66,0.491667,485,190440,1067,4541,0.69793,5.0313,6.8811,1.1297,7.209,32.872,15.963,2832,155.838,2.30284,"Alpine Scrub, Forb Meadow & Grassland"
37.66666667,102.5333333,1026.42,3.25,284,191208,1161,2444,0.68564,7.7755,7.6776,1.1696,11.341,31.801,15.485,2284,178.454,9.21356,"Alpine Scrub, Forb Meadow & Grassland"
37.2,102.5,980.4,-3.98333,478,183018,760,6285,0.88917,10.497,6.4473,0.99151,11.805,37.533,15.278,3490,267.715,6.91334,"Alpine Scrub, Forb Meadow & Grassland"
37.6,107.2,214.5,7.775,324,192717,1398,2316,0.44362,2.581,7.67,1.2791,5.8182,31.007,18.595,1585,36.6942,1.73352,Cool Semi-Desert Scrub & Grassland
36.86666667,109.35,354.8,9.25833,487,187002,1406,3463,0.42853,5.3972,7.6961,1.2786,12.595,33.429,16.77,1234,204.815,3.16337,Cool Semi-Desert Scrub & Grassland
36.86666667,109.35,629.4,9.25833,487,187002,1406,3463,0.42853,5.3972,7.6961,1.2786,12.595,33.429,16.77,1234,204.815,3.16337,Cool Semi-Desert Scrub & Grassland
37.02,99.57,236.61,0.616333,297,197222,1231,2411,0.7239,6.90891,7.02695,1.18659,9.5444,40.4334,20.0416,3226,102.154,0.405238,"Alpine Scrub, Forb Meadow & Grassland"
37.29,99.58,904.9,-1.76733,326,196748,1106,2943,0.756698,6.90754,6.72082,1.14909,9.12846,43.5094,17.3496,3502,150.97,1.46,"Alpine Scrub, Forb Meadow & Grassland"
37.4,-122.2333333,750.54,13.8833,586,200290,1477,3965,0.67336,7.1996,6.1973,1.543,10.692,40.853,24.358,157,191.014,2.21221,"Mediterranean Scrub, Grassland & Forb Meadow"
36.95,-96.55,887,14.125,920,187782,1654,5561,0.57983,9.0888,5.9128,1.5373,15.675,54.331,29.978,397,259.972,0.352079,"Temperate Grassland, Meadow & Shrubland"
36,38,238,18.1583,226,215651,2105,1073,0.26878,2.6182,7.8907,1.4416,9.7411,40.127,31.963,366,176.331,0.0456224,"Mediterranean Scrub, Grassland & Forb Meadow"
