Code,Lat,Lon,Year,ANPP,MAT,MAP,SOL,PET,AI,STN,SOC,PH,BD,CN,SILT,CLAY,ELEV,ASP,SLOPE,Formation,predictValues
77,46.6,119.5,2001,149,-1.272,307.843,5314.68864,764.005,0.3803,0.5151,5.8804,6.9204,1.3077,11.416,34.247,23.427,1078,96.1516,1.13604,"Temperate Grassland, Meadow & Shrubland",163.4624238
78,47.22,85.71,2001,266,-0.505,447.991,4977.83232,622.723,0.3745,0.7023,9.98073,7.09291,1.14527,14.2043,42.7505,21.7006,2060,73.0898,5.49025,"Alpine Scrub, Forb Meadow & Grassland",242.9634333
79,46.63305556,120.3830556,2006,243,1.037,348.544,5366.83968,777.754,0.3607,0.613904,7.07089,6.41988,1.19246,11.519,25.5247,16.307,830,284.268,2.92546,"Temperate Grassland, Meadow & Shrubland",221.9253
80,46.63333333,122.3833333,1988,187,4.594,587.026,5192.44992,806.77,0.3324,0.54499,6.7971,7.1661,1.2743,12.472,30.149,17.784,328,287.818,0.846443,"Temperate Grassland, Meadow & Shrubland",260.5870429
81,47.17,38,1968,459,9.8,476.2,4382.73504,856.362,0.4995,0.781524,8.67658,7.36458,1.23582,11.1044,43.3392,38.828,50,193.73,0.573946,Cool Semi-Desert Scrub & Grassland,401.3123
82,46.58333333,124.5,1991,226,4.387,525.487,5042.2176,806.02,0.3583,0.63445,7.0786,7.5762,1.2549,11.157,27.199,24.184,146,219.098,0.097388,"Temperate Grassland, Meadow & Shrubland",243.4380762
83,47.0697,7.0627,2008,512,8.261,1069.16,4289.8896,691.638,1.1098,0.660714,11.9659,5.65831,1.194,18.3289,23.1132,24.5087,645,176.478,8.77164,"Alpine Scrub, Forb Meadow & Grassland",514.4113238
84,47.066,7.0496,2008,535,8.089,1091.68,4292.14464,688.358,1.1205,0.716827,11.913,6.07258,1.2326,16.6127,19.8009,26.3701,627,152.818,9.48642,"Alpine Scrub, Forb Meadow & Grassland",525.0580667
85,47.0096,7.5705,2008,462,8.217,1152.74,4351.99392,699.204,1.2697,0.617068,11.9527,5.40154,1.18335,19.401,26.2871,20.0114,659,311.484,4.71142,"Alpine Scrub, Forb Meadow & Grassland",505.8183
86,46.9955,7.4615,2008,754,8.518,1057.15,4350.64608,707.755,1.1408,0.622827,9.27913,6.3451,1.25613,14.8923,25.0418,25.1175,553,247.145,1.80939,"Alpine Scrub, Forb Meadow & Grassland",619.5032333
87,46.746,7.5887,2008,153,6.644,1048.76,4406.89248,709.959,1.114,0.605683,9.09301,6.45474,1.28647,15.0163,32.6503,23.3391,577,27.8427,0.9691,"Alpine Scrub, Forb Meadow & Grassland",270.4246
88,46.4621,8.9241,2008,414,2.328,1754.22,4547.22336,641.301,1.5484,0.769914,13.1293,5.18149,1.1075,17.0522,24.1341,22.6293,789,80.551,16.4566,"Alpine Scrub, Forb Meadow & Grassland",422.1110381
89,46.3643,8.075,2008,176,-0.505,1082.58,4800.98016,565.984,1.0788,0.910109,13.8342,4.99603,1.03099,16.8009,24.6293,19.0174,1171,307.918,18.446,"Alpine Scrub, Forb Meadow & Grassland",263.2491667
90,46.3608,8.0611,2008,550,-0.503,1071.21,4758.08256,599.079,1.0573,0.725006,13.2253,5.01884,1.04428,18.4142,27.2114,20.4517,1111,299.73,19.8827,"Alpine Scrub, Forb Meadow & Grassland",451.4099762
91,46.38194444,-105.9555556,2013,94,8.201,430.417,5074.41024,960.654,0.2309,0.429534,4.92978,6.92779,1.4855,11.5132,36.7677,25.2786,792,163.876,2.05644,"Temperate Grassland, Meadow & Shrubland",125.3819111
92,46.77,-100.92,1930,44,7.939,334.125,5055.48864,985.201,0.3464,0.815901,6.62522,6.79642,1.50319,8.13337,38.6145,23.6765,583,269.417,0.468253,"Temperate Grassland, Meadow & Shrubland",100.7307619
93,46.4,-119.55,1976,98,11.762,115.289,5062.66848,1178.69,0.1295,0.26595,2.5349,7.1178,1.571,9.5315,44.27,13.758,386,53.4057,3.61574,Cool Semi-Desert Scrub & Grassland,98.2058
