Lat,Lon,fBNPP,MAT,MAP,SOL,PET,AI,STN,SOC,PH,BD,CN,SILT,CLAY,ELEV,ASP,SLOPE,Formation
44.57416667,123.5186111,0.618798043,6.07572,435,178990,1338,3252,0.611608,6.17581,7.3083,1.26822,10.0978,34.8148,26.0867,148,21.2153,0.233875,"Temperate Grassland, Meadow & Shrubland"
44.56666667,122.9166667,0.784517197,6.39167,431,179516,1390,3100,0.54058,5.1701,7.4511,1.3168,9.5641,22.377,21.494,151,15.8064,0.0402166,"Temperate Grassland, Meadow & Shrubland"
44.56666667,122.9166667,0.802141193,6.39167,431,179516,1390,3100,0.54058,5.1701,7.4511,1.3168,9.5641,22.377,21.494,151,15.8064,0.0402166,"Temperate Grassland, Meadow & Shrubland"
43.63,116.7,0.754264383,1.12667,317,183610,1188,2668,0.523562,5.72438,6.97756,1.26544,10.9426,26.4396,13.102,1184,212.733,0.571753,"Temperate Grassland, Meadow & Shrubland"
43.63,116.7,0.587628866,1.12667,317,183610,1188,2668,0.523562,5.72438,6.97756,1.26544,10.9426,26.4396,13.102,1184,212.733,0.571753,"Temperate Grassland, Meadow & Shrubland"
43.96,116.37,0.507739938,1.29633,283,185114,1224,2314,0.494721,4.67372,7.09014,1.38066,9.45588,24.875,16.1252,1133,194.511,0.827889,"Temperate Grassland, Meadow & Shrubland"
43.71666667,116.6333333,0.613216266,1.05833,308,183586,1195,2576,0.50134,4.4731,7.1175,1.3091,8.9224,12.417,12.135,1182,124.715,1.36104,"Temperate Grassland, Meadow & Shrubland"
43.43333333,116.0666667,0.511859117,0.275,322,185019,1176,2737,0.58696,6.1847,6.6234,1.1977,10.537,28.49,19.066,1440,9.95255,1.87244,"Temperate Grassland, Meadow & Shrubland"
43.63333333,116.7,0.815628541,1.11667,318,183346,1189,2673,0.49979,5.5341,7.0786,1.2724,11.073,27.248,13.458,1188,211.5,0.576684,"Temperate Grassland, Meadow & Shrubland"
43.28333333,-89.36666667,0.541733892,7.55,842,157753,1067,7886,0.61703,8.1735,6.429,1.4448,13.247,59.155,23.218,296,190.655,0.363227,"Temperate Grassland, Meadow & Shrubland"
43.175,-90.067,0.49895605,7.90133,808,157444,1064,7584,0.799415,5.70793,6.15644,1.53372,7.15064,44.154,12.5813,221,134.001,0.0801055,"Temperate Grassland, Meadow & Shrubland"
43.13333333,-88.86666667,0.497820401,7.925,832,158059,1075,7736,0.67391,7.9469,6.1564,1.4917,11.792,52.108,22.747,241,273.515,0.435894,"Temperate Grassland, Meadow & Shrubland"
43.63333333,116.7,0.760287655,1.11667,318,183346,1189,2673,0.49979,5.5341,7.0786,1.2724,11.073,27.248,13.458,1188,211.5,0.576684,"Temperate Grassland, Meadow & Shrubland"
43.55083333,116.6752778,0.688677627,1.04369,321,184259,1193,2689,0.51079,4.66117,7.01148,1.28961,9.13114,16.2364,11.2885,1263,246.221,0.385254,"Temperate Grassland, Meadow & Shrubland"
43.54694444,116.6886111,0.820380429,1.01362,322,184151,1189,2706,0.511558,4.81117,7.013,1.31175,9.40597,19.0618,11.8457,1269,279.221,0.849485,"Temperate Grassland, Meadow & Shrubland"
43.95,-101.87,0.688050314,8.49333,434,174440,1504,2881,0.819952,7.58558,6.95922,1.67604,9.24662,39.4378,49.4508,737,17.7538,1.12621,"Temperate Grassland, Meadow & Shrubland"
43.75,-112,0.552845528,6.26667,298,179166,1344,2215,0.63548,8.3047,7.5667,1.496,13.068,39.312,24.884,1463,264.546,0.132235,Cool Semi-Desert Scrub & Grassland
43.75,-112,0.556818182,6.26667,298,179166,1344,2215,0.63548,8.3047,7.5667,1.496,13.068,39.312,24.884,1463,264.546,0.132235,Cool Semi-Desert Scrub & Grassland
43.82,-111.78,0.609665428,5.88667,364,177241,1316,2763,0.594558,8.06944,7.3302,1.50547,13.5625,42.7842,23.4985,1504,324.354,2.22397,Cool Semi-Desert Scrub & Grassland
44,-112,0.556410256,5.875,304,176950,1351,2248,0.59879,7.0916,7.3554,1.5131,11.843,40.292,22.769,1572,214.403,1.41293,Cool Semi-Desert Scrub & Grassland
43.03,-89.43,0.568427113,7.847,833,158908,1074,7753,0.612158,7.17623,6.4125,1.51268,11.735,58.2434,22.143,291,61.1683,0.878327,"Temperate Grassland, Meadow & Shrubland"
42.38333333,110.3833333,0.579624116,5.66667,174,196921,1638,1061,0.45616,2.3589,7.6766,1.3942,5.1712,32.2,17.74,1126,141.755,0.20227,Cool Semi-Desert Scrub & Grassland
42.21666667,116,0.753988462,2.60833,366,185714,1265,2891,0.46685,5.0025,7.0473,1.2741,10.715,30.489,19.434,1334,31.3363,1.19453,"Temperate Grassland, Meadow & Shrubland"
42.04,116.3,0.813969841,3.115,406,184888,1259,3224,0.472892,5.20296,6.97696,1.26654,11.0038,28.9618,17.6636,1333,268.286,1.80522,"Temperate Grassland, Meadow & Shrubland"
42.04,116.3,0.621532572,3.115,406,184888,1259,3224,0.472892,5.20296,6.97696,1.26654,11.0038,28.9618,17.6636,1333,268.286,1.80522,"Temperate Grassland, Meadow & Shrubland"
42.03333333,116.2833333,0.742135121,3.08333,405,184850,1260,3213,0.4733,5.3421,6.7877,1.2518,11.287,31.22,17.487,1344,215.99,1.76482,"Temperate Grassland, Meadow & Shrubland"
42.03333333,116.2833333,0.666582016,3.08333,405,184850,1260,3213,0.4733,5.3421,6.7877,1.2518,11.287,31.22,17.487,1344,215.99,1.76482,"Temperate Grassland, Meadow & Shrubland"
41.13,-104.82,0.690827777,7.768,388,188866,1615,2399,0.509751,4.94245,6.81265,1.54307,9.69593,22.6356,21.6026,1848,117.454,0.273053,"Temperate Grassland, Meadow & Shrubland"
41.13,-104.82,0.716423309,7.768,388,188866,1615,2399,0.509751,4.94245,6.81265,1.54307,9.69593,22.6356,21.6026,1848,117.454,0.273053,"Temperate Grassland, Meadow & Shrubland"
41.87,-113.08,0.538813158,9.15933,277,192446,1689,1639,0.381597,3.38011,7.7394,1.53993,8.85817,40.0536,20.9235,1368,184.218,0.456597,Cool Semi-Desert Scrub & Grassland
41.87,-113.08,0.53528088,9.15933,277,192446,1689,1639,0.381597,3.38011,7.7394,1.53993,8.85817,40.0536,20.9235,1368,184.218,0.456597,Cool Semi-Desert Scrub & Grassland
41.4,-105.2666667,0.54442263,5.75,342,187004,1506,2270,0.6475,5.3943,7.1195,1.5737,8.331,36.101,22.995,2203,65.9094,1.5567,"Temperate Grassland, Meadow & Shrubland"
41.55,-93.28333333,0.386889609,9.60833,921,166266,1208,7620,0.76803,6.2153,6.2001,1.5041,8.0926,54.975,27.807,265,79.9396,0.501077,"Temperate Grassland, Meadow & Shrubland"
41.78333333,111.8833333,0.816681943,3.6,224,193470,1450,1544,0.51877,4.0774,7.3981,1.4304,7.8598,40.368,21.206,1436,211.695,0.465779,Cool Semi-Desert Scrub & Grassland
41.78333333,111.8833333,0.684043849,3.6,224,193470,1450,1544,0.51877,4.0774,7.3981,1.4304,7.8598,40.368,21.206,1436,211.695,0.465779,Cool Semi-Desert Scrub & Grassland
41.08,-113.08,0.742924528,10.1727,245,197411,1762,1389,0.429304,3.34229,8.03604,1.54786,7.77396,40.6086,27.4948,1287,275.322,0.109742,Cool Semi-Desert Scrub & Grassland
41.87,-112.75,0.819277108,8.80333,315,191663,1635,1928,0.405946,3.68328,7.6062,1.52738,9.07324,47.0378,22.214,1420,226.206,0.8943,Cool Semi-Desert Scrub & Grassland
41.87,-112.75,0.744,8.80333,315,191663,1635,1928,0.405946,3.68328,7.6062,1.52738,9.07324,47.0378,22.214,1420,226.206,0.8943,Cool Semi-Desert Scrub & Grassland
41.87,-112.75,0.742043551,8.80333,315,191663,1635,1928,0.405946,3.68328,7.6062,1.52738,9.07324,47.0378,22.214,1420,226.206,0.8943,Cool Semi-Desert Scrub & Grassland
40.05,-105.58,0.708661417,0.378333,641,188056,1187,5397,0.688574,11.049,5.3145,1.68788,16.0498,36.9816,16.6342,3391,132.562,5.65428,"Temperate Grassland, Meadow & Shrubland"
40.05,-105.58,0.56097561,0.378333,641,188056,1187,5397,0.688574,11.049,5.3145,1.68788,16.0498,36.9816,16.6342,3391,132.562,5.65428,"Temperate Grassland, Meadow & Shrubland"
40.05,-105.58,0.60961313,0.378333,641,188056,1187,5397,0.688574,11.049,5.3145,1.68788,16.0498,36.9816,16.6342,3391,132.562,5.65428,"Temperate Grassland, Meadow & Shrubland"
40.82,-104.77,0.767567568,8.979,368,192273,1710,2150,0.415709,3.14791,6.65658,1.63325,7.57144,29.0046,20.7121,1648,151.327,0.600506,"Temperate Grassland, Meadow & Shrubland"
40.46,-104.46,0.552177235,9.73167,351,196034,1764,1991,0.450198,3.23169,7.02804,1.5427,7.2022,23.8953,17.6714,1436,293.522,0.678638,"Temperate Grassland, Meadow & Shrubland"
40.46,-104.46,0.612006345,9.73167,351,196034,1764,1991,0.450198,3.23169,7.02804,1.5427,7.2022,23.8953,17.6714,1436,293.522,0.678638,"Temperate Grassland, Meadow & Shrubland"
40.41666667,107.8333333,0.511732215,7.38333,197,198880,1656,1188,0.36168,2.2588,7.7432,1.2977,6.2452,37.453,22.724,1181,287.557,0.273592,Cool Semi-Desert Scrub & Grassland
40.81666667,-104.7666667,0.515775243,9.00833,367,192401,1711,2144,0.42821,3.2838,6.5316,1.6169,7.6687,29.726,21.964,1642,171.236,0.531931,"Temperate Grassland, Meadow & Shrubland"
40.81666667,-104.7666667,0.763485796,9.00833,367,192401,1711,2144,0.42821,3.2838,6.5316,1.6169,7.6687,29.726,21.964,1642,171.236,0.531931,"Temperate Grassland, Meadow & Shrubland"
40.81666667,-104.7666667,0.697917903,9.00833,367,192401,1711,2144,0.42821,3.2838,6.5316,1.6169,7.6687,29.726,21.964,1642,171.236,0.531931,"Temperate Grassland, Meadow & Shrubland"
40.8,-104.8,0.767567568,8.91667,371,192188,1703,2177,0.40393,3.2202,6.6013,1.6369,7.9721,21.347,19.68,1653,210.194,0.763294,"Temperate Grassland, Meadow & Shrubland"
40,-105,0.696428571,10.0583,430,197229,1782,2412,0.50477,4.5944,6.892,1.5753,9.102,30.093,19.528,1593,65.293,0.674426,"Temperate Grassland, Meadow & Shrubland"
38.95,-99.33,0.502820143,11.8367,587,192556,1729,3396,0.647882,5.1648,6.90056,1.51708,7.97088,51.5712,23.393,666,166.47,0.101534,"Temperate Grassland, Meadow & Shrubland"
38.87,-99.38,0.745263158,12.0073,575,193087,1747,3292,0.616005,6.13294,7.23825,1.53811,9.95444,49.9918,22.627,645,74.2707,1.10197,"Temperate Grassland, Meadow & Shrubland"
39.13333333,100.15,0.856244834,7.75,189,200801,1655,1141,0.42401,4.6258,7.8092,1.2819,10.91,33.065,19.925,1464,36.8442,0.42176,"Alpine Scrub, Forb Meadow & Grassland"
39.13333333,100.15,0.898573297,7.75,189,200801,1655,1141,0.42401,4.6258,7.8092,1.2819,10.91,33.065,19.925,1464,36.8442,0.42176,"Alpine Scrub, Forb Meadow & Grassland"
39.13333333,100.15,0.725989862,7.75,189,200801,1655,1141,0.42401,4.6258,7.8092,1.2819,10.91,33.065,19.925,1464,36.8442,0.42176,"Alpine Scrub, Forb Meadow & Grassland"
38.82,99.9,0.836096194,-1.85833,367,195916,1088,3372,0.724506,8.55372,7.26812,1.1824,11.7599,41.6296,18.1968,2841,216.33,3.79208,"Alpine Scrub, Forb Meadow & Grassland"
39.1,98.23,0.851893725,-5.50167,277,198178,911,3038,0.741924,7.35436,6.78698,1.31572,9.91258,38.8748,10.7386,3476,329.264,4.81845,"Alpine Scrub, Forb Meadow & Grassland"
39.18,98,0.8,-1.77667,213,201286,1146,1859,0.75608,3.45318,7.32104,1.23922,4.53844,36.0408,18.8236,2936,326.45,5.10623,"Alpine Scrub, Forb Meadow & Grassland"
39.15,-96.91666667,0.341326115,12.525,839,184435,1551,5407,0.739,8.0805,6.225,1.5352,10.934,45.018,25.706,346,229.943,0.381476,"Temperate Grassland, Meadow & Shrubland"
39.09305556,-96.55861111,0.426548166,12.0116,893,182058,1497,5965,0.94405,10.31,5.97299,1.54203,10.9212,48.6622,36.2759,416,121.856,1.03195,"Temperate Grassland, Meadow & Shrubland"
39.15,-96.91666667,0.483314691,12.525,839,184435,1551,5407,0.739,8.0805,6.225,1.5352,10.934,45.018,25.706,346,229.943,0.381476,"Temperate Grassland, Meadow & Shrubland"
38.87,-99.38,0.745263158,12.0073,575,193087,1747,3292,0.616005,6.13294,7.23825,1.53811,9.95444,49.9918,22.627,645,74.2707,1.10197,"Temperate Grassland, Meadow & Shrubland"
38.87,-99.38,0.714,12.0073,575,193087,1747,3292,0.616005,6.13294,7.23825,1.53811,9.95444,49.9918,22.627,645,74.2707,1.10197,"Temperate Grassland, Meadow & Shrubland"
38.54,100.29,0.916179832,-3.122,407,196081,959,4251,0.92527,10.9711,7.00102,0.978894,11.8396,37.0529,16.6529,3123,343.909,16.7932,"Alpine Scrub, Forb Meadow & Grassland"
38.54,100.29,0.859296661,-3.122,407,196081,959,4251,0.92527,10.9711,7.00102,0.978894,11.8396,37.0529,16.6529,3123,343.909,16.7932,"Alpine Scrub, Forb Meadow & Grassland"
38.54,100.29,0.88803505,-3.122,407,196081,959,4251,0.92527,10.9711,7.00102,0.978894,11.8396,37.0529,16.6529,3123,343.909,16.7932,"Alpine Scrub, Forb Meadow & Grassland"
38.54,100.29,0.886789958,-3.122,407,196081,959,4251,0.92527,10.9711,7.00102,0.978894,11.8396,37.0529,16.6529,3123,343.909,16.7932,"Alpine Scrub, Forb Meadow & Grassland"
38.77,99.8,0.845155308,-4.31167,380,195895,906,4190,0.821344,10.2164,6.90772,1.10538,12.4412,40.9318,17.023,3134,262.769,4.36671,"Alpine Scrub, Forb Meadow & Grassland"
38.8,99.82,0.852251504,-3.66333,376,195794,966,3889,0.786766,9.52788,7.05666,1.15564,12.11,41.0242,18.1086,3012,354.344,3.43186,"Alpine Scrub, Forb Meadow & Grassland"
38.67,-94,0.531584062,12.4333,1030,177649,1403,7337,0.7122,7.0564,6.13918,1.55868,9.9076,62.6686,29.1626,266,122.136,0.327415,"Temperate Grassland, Meadow & Shrubland"
38.67,-94,0.530612245,12.4333,1030,177649,1403,7337,0.7122,7.0564,6.13918,1.55868,9.9076,62.6686,29.1626,266,122.136,0.327415,"Temperate Grassland, Meadow & Shrubland"
36.95,-96.55,0.617600208,14.125,920,187782,1654,5561,0.57983,9.0888,5.9128,1.5373,15.675,54.331,29.978,397,259.972,0.352079,"Temperate Grassland, Meadow & Shrubland"
36.86666667,109.35,0.640059494,9.25833,487,187002,1406,3463,0.42853,5.3972,7.6961,1.2786,12.595,33.429,16.77,1234,204.815,3.16337,Cool Semi-Desert Scrub & Grassland
37.36666667,101.6333333,0.687943113,0.491667,485,190440,1067,4541,0.69793,5.0313,6.8811,1.1297,7.209,32.872,15.963,2832,155.838,2.30284,"Alpine Scrub, Forb Meadow & Grassland"
37.66666667,102.5333333,0.760273572,3.25,284,191208,1161,2444,0.68564,7.7755,7.6776,1.1696,11.341,31.801,15.485,2284,178.454,9.21356,"Alpine Scrub, Forb Meadow & Grassland"
37.66666667,102.5333333,0.813316841,3.25,284,191208,1161,2444,0.68564,7.7755,7.6776,1.1696,11.341,31.801,15.485,2284,178.454,9.21356,"Alpine Scrub, Forb Meadow & Grassland"
37.2,102.5,0.737046104,-3.98333,478,183018,760,6285,0.88917,10.497,6.4473,0.99151,11.805,37.533,15.278,3490,267.715,6.91334,"Alpine Scrub, Forb Meadow & Grassland"
37.6,107.2,0.606526807,7.775,324,192717,1398,2316,0.44362,2.581,7.67,1.2791,5.8182,31.007,18.595,1585,36.6942,1.73352,Cool Semi-Desert Scrub & Grassland
36.86666667,109.35,0.705749718,9.25833,487,187002,1406,3463,0.42853,5.3972,7.6961,1.2786,12.595,33.429,16.77,1234,204.815,3.16337,Cool Semi-Desert Scrub & Grassland
36.86666667,109.35,0.807594534,9.25833,487,187002,1406,3463,0.42853,5.3972,7.6961,1.2786,12.595,33.429,16.77,1234,204.815,3.16337,Cool Semi-Desert Scrub & Grassland
37.02,99.57,0.643463928,0.616333,297,197222,1231,2411,0.7239,6.90891,7.02695,1.18659,9.5444,40.4334,20.0416,3226,102.154,0.405238,"Alpine Scrub, Forb Meadow & Grassland"
37.29,99.58,0.86981987,-1.76733,326,196748,1106,2943,0.756698,6.90754,6.72082,1.14909,9.12846,43.5094,17.3496,3502,150.97,1.46,"Alpine Scrub, Forb Meadow & Grassland"
37.4,-122.2333333,0.358763204,13.8833,586,200290,1477,3965,0.67336,7.1996,6.1973,1.543,10.692,40.853,24.358,157,191.014,2.21221,"Mediterranean Scrub, Grassland & Forb Meadow"
36.95,-96.55,0.611048478,14.125,920,187782,1654,5561,0.57983,9.0888,5.9128,1.5373,15.675,54.331,29.978,397,259.972,0.352079,"Temperate Grassland, Meadow & Shrubland"
34.98,-97.52,0.563123,16.1833,921,196207,1773,5191,0.514646,5.989,5.98896,1.60969,11.6588,39.1656,21.9736,331,98.3597,0.571598,"Temperate Grassland, Meadow & Shrubland"
34.98333333,-97.51666667,0.503498891,16.2167,920,196239,1773,5187,0.53116,5.7053,5.9579,1.6075,10.741,39.069,21.644,333,127.625,0.509346,"Temperate Grassland, Meadow & Shrubland"
34.98333333,-97.51666667,0.604447269,16.2167,920,196239,1773,5187,0.53116,5.7053,5.9579,1.6075,10.741,39.069,21.644,333,127.625,0.509346,"Temperate Grassland, Meadow & Shrubland"
35.3,-101.53,0.711235955,13.6417,517,214153,2136,2418,0.578524,5.13842,7.33114,1.68516,8.88238,48.0424,30.9118,1078,118.284,0.185955,"Temperate Grassland, Meadow & Shrubland"
35,38,0.453781513,16.075,183,219192,2133,857,0.23224,2.4981,8.2308,1.4444,10.757,42.099,42.329,920,23.0355,1.26067,"Mediterranean Scrub, Grassland & Forb Meadow"
35.3,-101.53,0.710723192,13.6417,517,214153,2136,2418,0.578524,5.13842,7.33114,1.68516,8.88238,48.0424,30.9118,1078,118.284,0.185955,"Temperate Grassland, Meadow & Shrubland"
34.355,100.5583333,0.706817237,-3.23,591,175223,858,6885,0.823282,9.95728,6.32418,1.01942,12.1056,40.106,11.7082,4116,213.75,4.65799,"Alpine Scrub, Forb Meadow & Grassland"
34.49166667,99.85833333,0.891247406,-3.59167,512,178933,869,5890,0.85989,9.9463,6.4614,1.0086,11.567,35.229,14.567,4258,222.808,8.24575,"Alpine Scrub, Forb Meadow & Grassland"
34.49166667,99.85833333,0.702816801,-3.59167,512,178933,869,5890,0.85989,9.9463,6.4614,1.0086,11.567,35.229,14.567,4258,222.808,8.24575,"Alpine Scrub, Forb Meadow & Grassland"
34.49166667,99.85833333,0.863816834,-3.59167,512,178933,869,5890,0.85989,9.9463,6.4614,1.0086,11.567,35.229,14.567,4258,222.808,8.24575,"Alpine Scrub, Forb Meadow & Grassland"
34.49166667,99.85833333,0.859362349,-3.59167,512,178933,869,5890,0.85989,9.9463,6.4614,1.0086,11.567,35.229,14.567,4258,222.808,8.24575,"Alpine Scrub, Forb Meadow & Grassland"
34.49166667,99.85833333,0.93473443,-3.59167,512,178933,869,5890,0.85989,9.9463,6.4614,1.0086,11.567,35.229,14.567,4258,222.808,8.24575,"Alpine Scrub, Forb Meadow & Grassland"
34.49166667,99.85833333,0.908388046,-3.59167,512,178933,869,5890,0.85989,9.9463,6.4614,1.0086,11.567,35.229,14.567,4258,222.808,8.24575,"Alpine Scrub, Forb Meadow & Grassland"
32.6,-106.85,0.571000944,15.2,272,239290,2383,1140,0.25185,2.4107,7.8009,1.609,9.5718,26.18,19.8,1321,57.9902,0.395975,Warm Semi-Desert Scrub & Grassland
32.8,102.55,0.623812553,2.76667,702,159235,985,7122,0.71544,8.2967,6.2074,1.0466,11.597,37.218,20.653,3489,333.272,0.287342,"Alpine Scrub, Forb Meadow & Grassland"
32.65,83,0.845903113,-4.35833,67,198007,1179,568,0.73242,3.1304,6.998,1.2657,4.2741,42.142,12.013,4971,11.0903,5.11711,"Alpine Scrub, Forb Meadow & Grassland"
32.6,-106.85,0.498305085,15.2,272,239290,2383,1140,0.25185,2.4107,7.8009,1.609,9.5718,26.18,19.8,1321,57.9902,0.395975,Warm Semi-Desert Scrub & Grassland
33,3,0.350282486,19.3,105,233510,2635,398,0.33096,3.6284,7.8465,1.4469,10.963,28.596,29.31,728,150.243,0.108224,"Mediterranean Scrub, Grassland & Forb Meadow"
32,78,0.929819195,-8.15,427,190409,885,4821,0.45828,3.9319,7.8272,1.447,8.5797,42.755,24.939,5253,87.1105,7.49698,"Alpine Scrub, Forb Meadow & Grassland"
31.9,91.7,0.684671665,-2.45,427,201089,1081,3947,0.70525,5.6356,7.1119,1.3277,7.9909,40.857,9.0493,4693,328.668,3.63323,"Alpine Scrub, Forb Meadow & Grassland"
32.3,88.05,0.769275915,-3.50833,275,199162,1156,2378,0.79088,3.5031,7.1713,1.3456,4.4293,44.075,10.479,4945,101.781,4.74868,"Alpine Scrub, Forb Meadow & Grassland"
30.47,79.33,0.399005396,10.734,2004,200247,1384,14495,0.536488,7.99608,5.91016,1.40134,14.8994,43.4676,24.4573,3181,193.394,25.896,"Alpine Scrub, Forb Meadow & Grassland"
30.5,79.25,0.571428571,13.9167,1763,202297,1454,12120,0.60246,8.3938,5.7422,1.3965,13.932,43.666,25.785,2181,189.918,16.7122,"Alpine Scrub, Forb Meadow & Grassland"
30.5,79.25,0.594679186,13.9167,1763,202297,1454,12120,0.60246,8.3938,5.7422,1.3965,13.932,43.666,25.785,2181,189.918,16.7122,"Alpine Scrub, Forb Meadow & Grassland"
